top,bottom,cue,prompt
1358_LOW.jpg,18_MEDLOW.jpg,3,0
1303_LOW.jpg,710_MEDLOW.jpg,2,1
1165_LOW.jpg,963_MEDLOW.jpg,1,0
1120_LOW.jpg,1326_MEDLOW.jpg,0,1
1271_LOW.jpg,34_MEDLOW.jpg,3,0
1205_LOW.jpg,669_MEDLOW.jpg,2,1
1019_LOW.jpg,160_MEDLOW.jpg,1,0
235_LOW.jpg,698_MEDLOW.jpg,0,1
1227_LOW.jpg,598_MEDLOW.jpg,3,0
1325_LOW.jpg,1054_MEDLOW.jpg,2,1
321_LOW.jpg,575_MEDLOW.jpg,1,0
1344_LOW.jpg,1276_MEDLOW.jpg,0,1
1178_LOW.jpg,930_MEDLOW.jpg,3,0
223_LOW.jpg,1015_MEDLOW.jpg,2,1
246_LOW.jpg,1313_MEDLOW.jpg,1,0
529_LOW.jpg,870_MEDLOW.jpg,0,1
476_LOW.jpg,1049_MEDLOW.jpg,3,0
447_LOW.jpg,840_MEDLOW.jpg,2,1
481_LOW.jpg,711_MEDLOW.jpg,1,0
630_LOW.jpg,426_MEDLOW.jpg,0,1
1233_LOW.jpg,261_MEDLOW.jpg,3,0
394_LOW.jpg,1307_MEDLOW.jpg,2,1
1016_LOW.jpg,1202_MEDLOW.jpg,1,0
545_LOW.jpg,22_MEDLOW.jpg,0,1
871_LOW.jpg,1228_MEDLOW.jpg,3,0
1201_LOW.jpg,1045_MEDLOW.jpg,2,1
119_LOW.jpg,178_MEDLOW.jpg,1,0
1116_LOW.jpg,767_MEDLOW.jpg,0,1
655_LOW.jpg,107_MEDLOW.jpg,3,0
821_LOW.jpg,853_MEDLOW.jpg,2,1
1231_LOW.jpg,982_MEDLOW.jpg,1,0
1089_MEDHIGH.jpg,1038_HIGH.jpg,3,0
183_MEDHIGH.jpg,1320_HIGH.jpg,2,1
676_MEDHIGH.jpg,1268_HIGH.jpg,1,0
1229_MEDHIGH.jpg,389_HIGH.jpg,0,1
1086_MEDHIGH.jpg,430_HIGH.jpg,3,0
953_MEDHIGH.jpg,228_HIGH.jpg,2,1
1308_MEDHIGH.jpg,406_HIGH.jpg,1,0
775_MEDHIGH.jpg,560_HIGH.jpg,0,1
970_MEDHIGH.jpg,1207_HIGH.jpg,3,0
826_MEDHIGH.jpg,95_HIGH.jpg,2,1
370_MEDHIGH.jpg,857_HIGH.jpg,1,0
1343_MEDHIGH.jpg,348_HIGH.jpg,0,1
541_MEDHIGH.jpg,1287_HIGH.jpg,3,0
333_MEDHIGH.jpg,643_HIGH.jpg,2,1
979_MEDHIGH.jpg,35_HIGH.jpg,1,0
1377_MEDHIGH.jpg,934_HIGH.jpg,0,1
552_MEDHIGH.jpg,1051_HIGH.jpg,3,0
340_MEDHIGH.jpg,378_HIGH.jpg,2,1
811_MEDHIGH.jpg,319_HIGH.jpg,1,0
227_MEDHIGH.jpg,576_HIGH.jpg,0,1
1335_MEDHIGH.jpg,1217_HIGH.jpg,3,0
1277_MEDHIGH.jpg,556_HIGH.jpg,2,1
889_MEDHIGH.jpg,1203_HIGH.jpg,1,0
1142_MEDHIGH.jpg,1255_HIGH.jpg,0,1
1071_MEDHIGH.jpg,102_HIGH.jpg,3,0
1244_MEDHIGH.jpg,646_HIGH.jpg,2,1
1274_MEDHIGH.jpg,582_HIGH.jpg,1,0
864_MEDHIGH.jpg,255_HIGH.jpg,0,1
1133_MEDHIGH.jpg,688_HIGH.jpg,3,0
762_MEDHIGH.jpg,363_HIGH.jpg,2,1
1323_MEDHIGH.jpg,1097_HIGH.jpg,1,0
818_MEDHIGH.jpg,869_HIGH.jpg,0,1
1317_MEDHIGH.jpg,467_HIGH.jpg,3,0
8_MEDHIGH.jpg,98_HIGH.jpg,2,1
933_MEDHIGH.jpg,874_HIGH.jpg,1,0
607_MEDHIGH.jpg,135_HIGH.jpg,0,1
402_MEDHIGH.jpg,1194_HIGH.jpg,3,0
25_MEDHIGH.jpg,1101_HIGH.jpg,2,1
83_MEDHIGH.jpg,399_HIGH.jpg,1,0
1289_MEDHIGH.jpg,634_LOW.jpg,3,0
1406_MEDHIGH.jpg,1369_LOW.jpg,2,1
1136_MEDHIGH.jpg,877_LOW.jpg,1,0
999_MEDHIGH.jpg,1311_LOW.jpg,0,1
209_MEDHIGH.jpg,157_LOW.jpg,3,0
658_MEDHIGH.jpg,491_LOW.jpg,2,1
1191_MEDHIGH.jpg,739_LOW.jpg,1,0
627_MEDHIGH.jpg,980_LOW.jpg,0,1
132_MEDHIGH.jpg,1316_LOW.jpg,3,0
443_MEDHIGH.jpg,705_LOW.jpg,2,1
559_MEDHIGH.jpg,1113_LOW.jpg,1,0
73_MEDHIGH.jpg,1127_LOW.jpg,0,1
1011_MEDHIGH.jpg,57_LOW.jpg,3,0
373_MEDHIGH.jpg,1031_LOW.jpg,2,1
702_MEDHIGH.jpg,936_LOW.jpg,1,0
372_MEDHIGH.jpg,801_LOW.jpg,0,1
765_MEDHIGH.jpg,884_LOW.jpg,3,0
395_MEDHIGH.jpg,1189_LOW.jpg,2,1
398_MEDHIGH.jpg,257_LOW.jpg,1,0
1119_MEDHIGH.jpg,662_LOW.jpg,0,1
