top,bottom,cue,prompt
804_MEDHIGH.jpg,745_HIGH.jpg,1,0
653_MEDHIGH.jpg,80_HIGH.jpg,0,1
1176_MEDHIGH.jpg,571_HIGH.jpg,3,0
1073_MEDHIGH.jpg,120_HIGH.jpg,2,1
257_MEDHIGH.jpg,1039_HIGH.jpg,1,0
19_MEDHIGH.jpg,995_HIGH.jpg,0,1
1265_MEDHIGH.jpg,1048_HIGH.jpg,3,0
523_MEDHIGH.jpg,496_HIGH.jpg,2,1
1245_MEDHIGH.jpg,503_HIGH.jpg,1,0
222_MEDHIGH.jpg,722_HIGH.jpg,0,1
187_MEDHIGH.jpg,878_HIGH.jpg,3,0
932_MEDHIGH.jpg,1111_HIGH.jpg,2,1
850_MEDHIGH.jpg,233_HIGH.jpg,1,0
714_MEDHIGH.jpg,937_HIGH.jpg,0,1
789_MEDHIGH.jpg,332_HIGH.jpg,3,0
935_MEDHIGH.jpg,1_HIGH.jpg,2,1
823_MEDHIGH.jpg,785_HIGH.jpg,1,0
1330_MEDHIGH.jpg,1010_HIGH.jpg,0,1
1125_MEDHIGH.jpg,369_HIGH.jpg,3,0
557_MEDHIGH.jpg,963_HIGH.jpg,2,1
322_MEDHIGH.jpg,657_HIGH.jpg,1,0
385_MEDHIGH.jpg,1172_LOW.jpg,3,0
1213_MEDHIGH.jpg,266_LOW.jpg,2,1
413_MEDHIGH.jpg,328_LOW.jpg,1,0
499_MEDHIGH.jpg,1085_LOW.jpg,0,1
348_MEDHIGH.jpg,423_LOW.jpg,3,0
1320_MEDHIGH.jpg,821_LOW.jpg,2,1
85_MEDHIGH.jpg,1171_LOW.jpg,1,0
294_MEDHIGH.jpg,1271_LOW.jpg,0,1
1001_MEDHIGH.jpg,467_LOW.jpg,3,0
1043_MEDHIGH.jpg,746_LOW.jpg,2,1
1370_MEDHIGH.jpg,1276_LOW.jpg,1,0
658_MEDHIGH.jpg,205_LOW.jpg,0,1
1186_MEDHIGH.jpg,194_LOW.jpg,3,0
9_MEDHIGH.jpg,930_LOW.jpg,2,1
549_MEDHIGH.jpg,550_LOW.jpg,1,0
959_MEDHIGH.jpg,51_LOW.jpg,0,1
1148_MEDHIGH.jpg,479_LOW.jpg,3,0
1380_MEDHIGH.jpg,1282_LOW.jpg,2,1
478_MEDHIGH.jpg,765_LOW.jpg,1,0
871_MEDHIGH.jpg,1253_LOW.jpg,0,1
436_MEDHIGH.jpg,628_LOW.jpg,3,0
1262_MEDHIGH.jpg,215_LOW.jpg,2,1
954_MEDHIGH.jpg,93_LOW.jpg,1,0
412_MEDHIGH.jpg,149_LOW.jpg,0,1
1217_MEDHIGH.jpg,1095_LOW.jpg,3,0
1358_MEDHIGH.jpg,1215_LOW.jpg,2,1
643_MEDHIGH.jpg,102_LOW.jpg,1,0
516_MEDHIGH.jpg,1355_LOW.jpg,0,1
1269_MEDHIGH.jpg,805_LOW.jpg,3,0
1181_MEDHIGH.jpg,145_LOW.jpg,2,1
601_MEDHIGH.jpg,534_LOW.jpg,1,0
847_MEDHIGH.jpg,1079_LOW.jpg,0,1
1009_MEDHIGH.jpg,1297_LOW.jpg,3,0
60_MEDHIGH.jpg,35_LOW.jpg,2,1
614_MEDHIGH.jpg,956_LOW.jpg,1,0
1121_MEDHIGH.jpg,474_LOW.jpg,0,1
552_MEDHIGH.jpg,1155_LOW.jpg,3,0
1154_MEDHIGH.jpg,410_LOW.jpg,2,1
1300_MEDHIGH.jpg,1136_LOW.jpg,1,0
64_MEDHIGH.jpg,1092_MEDLOW.jpg,3,0
386_MEDHIGH.jpg,597_MEDLOW.jpg,2,1
47_MEDHIGH.jpg,177_MEDLOW.jpg,1,0
260_MEDHIGH.jpg,416_MEDLOW.jpg,0,1
817_MEDHIGH.jpg,1325_MEDLOW.jpg,3,0
91_MEDHIGH.jpg,38_MEDLOW.jpg,2,1
1258_MEDHIGH.jpg,1345_MEDLOW.jpg,1,0
307_MEDHIGH.jpg,864_MEDLOW.jpg,0,1
1233_MEDHIGH.jpg,1388_MEDLOW.jpg,3,0
1296_MEDHIGH.jpg,827_MEDLOW.jpg,2,1
422_MEDHIGH.jpg,37_MEDLOW.jpg,1,0
736_MEDHIGH.jpg,1379_MEDLOW.jpg,0,1
271_MEDHIGH.jpg,494_MEDLOW.jpg,3,0
95_MEDHIGH.jpg,1339_MEDLOW.jpg,2,1
1389_MEDHIGH.jpg,703_MEDLOW.jpg,1,0
176_MEDHIGH.jpg,448_MEDLOW.jpg,0,1
351_MEDHIGH.jpg,1030_MEDLOW.jpg,3,0
760_MEDHIGH.jpg,8_MEDLOW.jpg,2,1
214_MEDHIGH.jpg,815_MEDLOW.jpg,1,0
921_MEDHIGH.jpg,1015_MEDLOW.jpg,0,1
575_MEDHIGH.jpg,1196_MEDLOW.jpg,3,0
